,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
38,sequence_47697,2,2,2,2,2,2,2,2,2,2
39,sequence_47678,2,2,2,2,2,2,2,2,2,2
40,sequence_47682,1,1,1,1,1,1,1,1,1,1
41,sequence_47724,1,1,1,1,1,1,1,1,1,1
42,sequence_47806,1,1,1,1,1,1,1,1,1,1
43,sequence_47807,1,1,1,1,1,1,1,1,1,1
44,sequence_47804,2,2,2,2,2,2,2,2,2,2
45,sequence_47800,2,2,2,2,2,2,2,2,2,2
46,sequence_47799,2,2,2,2,2,2,2,2,2,2
47,sequence_47664,0,0,0,0,0,0,0,0,0,0
48,sequence_47666,0,0,0,0,0,0,0,0,0,0
49,sequence_47671,0,0,0,0,0,0,0,0,0,0
50,sequence_47727,0,0,0,0,0,0,0,0,0,0
51,sequence_47756,0,0,0,0,0,0,0,0,0,0
52,sequence_47775,0,0,0,0,0,0,0,0,0,0
53,sequence_47730,0,0,0,0,0,0,0,0,0,0
54,sequence_47758,0,0,0,0,0,0,0,0,0,0
55,sequence_47797,2,2,2,2,2,2,2,2,2,2
56,sequence_47798,0,0,0,0,0,0,0,0,0,0
57,sequence_47751,2,2,2,2,2,2,2,2,2,2
58,sequence_47741,0,0,0,0,0,0,0,0,0,0
59,sequence_47743,0,0,0,0,0,0,0,0,0,0
60,sequence_47752,0,0,0,0,0,0,0,0,0,0
61,sequence_47745,0,0,0,0,0,0,0,0,0,0
62,sequence_47747,0,0,0,0,0,0,0,0,0,0
63,sequence_47748,0,0,0,0,0,0,0,0,0,0
64,sequence_47749,0,0,0,0,0,0,0,0,0,0
65,sequence_47744,0,0,0,0,0,0,0,0,0,0
66,sequence_47721,2,2,2,2,2,2,2,2,2,2
67,sequence_47759,2,2,2,2,2,2,2,2,2,2
68,sequence_47774,2,2,2,2,2,2,2,2,2,2
69,sequence_47770,2,2,2,2,2,2,2,2,2,2
70,sequence_47713,0,0,0,0,0,0,0,0,0,0
71,sequence_47738,0,0,0,0,0,0,0,0,0,0
72,sequence_47769,2,2,2,2,2,2,2,2,2,2
73,sequence_47702,1,1,1,1,1,1,1,1,1,1
74,sequence_47672,1,1,1,1,1,1,1,1,1,1
75,sequence_47705,1,1,1,1,1,1,1,1,1,1
76,sequence_47694,2,2,2,2,2,2,2,2,2,2
77,sequence_47691,2,2,2,2,2,2,2,2,2,2
78,sequence_47701,1,1,1,1,1,1,1,1,1,1
79,sequence_47706,1,1,1,1,1,1,1,1,1,1
80,sequence_47675,2,2,2,2,2,2,2,2,2,2
81,sequence_47698,2,2,2,2,2,2,2,2,2,2
82,sequence_47688,2,2,2,2,2,2,2,2,2,2
83,sequence_47704,1,1,1,1,1,1,1,1,1,1
84,sequence_47708,1,1,1,1,1,1,1,1,1,1
85,sequence_47709,1,1,1,1,1,1,1,1,1,1
86,sequence_47677,2,2,2,2,2,2,2,2,2,2
87,sequence_47692,2,2,2,2,2,2,2,2,2,2
88,sequence_47703,1,1,1,1,1,1,1,1,1,1
89,sequence_47707,1,1,1,1,1,1,1,1,1,1
90,sequence_47762,1,1,1,1,1,1,1,1,1,1
91,sequence_47765,1,1,1,1,1,1,1,1,1,1
92,sequence_47767,1,1,1,1,1,1,1,1,1,1
93,sequence_47812,1,1,1,1,1,1,1,1,1,1
94,sequence_47761,1,1,1,1,1,1,1,1,1,1
95,sequence_47764,1,1,1,1,1,1,1,1,1,1
96,sequence_47763,1,1,1,1,1,1,1,1,1,1
97,sequence_47699,2,2,2,2,2,2,2,2,2,2
98,sequence_47687,2,2,2,2,2,2,2,2,2,2
99,sequence_47693,2,2,2,2,2,2,2,2,2,2
100,sequence_47690,2,2,2,2,2,2,2,2,2,2
101,sequence_47712,2,2,2,2,2,2,2,2,2,2
102,sequence_47714,2,2,2,2,2,2,2,2,2,2
103,sequence_47725,2,2,2,2,2,2,2,2,2,2
104,sequence_47669,2,2,2,2,2,2,2,2,2,2
105,sequence_47668,2,2,2,2,2,2,2,2,2,2
106,sequence_47670,2,2,2,2,2,2,2,2,2,2
107,sequence_47665,2,2,2,2,2,2,2,2,2,2
108,sequence_47661,2,2,2,2,2,2,2,2,2,2
109,sequence_47667,0,0,0,0,0,0,0,0,0,0
110,sequence_47726,0,0,0,0,0,0,0,0,0,0
111,sequence_47734,0,0,0,0,0,0,0,0,0,0
112,sequence_47811,0,0,0,0,0,0,0,0,0,0
113,sequence_47662,0,0,0,0,0,0,0,0,0,0
114,sequence_47731,2,2,2,2,2,2,2,2,2,2
115,sequence_47733,2,2,2,2,2,2,2,2,2,2
116,sequence_47732,2,2,2,2,2,2,2,2,2,2
117,sequence_47755,2,2,2,2,2,2,2,2,2,2
118,sequence_47746,2,2,2,2,2,2,2,2,2,2
119,sequence_47754,2,2,2,2,2,2,2,2,2,2
120,sequence_47753,2,2,2,2,2,2,2,2,2,2
121,sequence_47740,2,2,2,2,2,2,2,2,2,2
122,sequence_47742,2,2,2,2,2,2,2,2,2,2
123,sequence_47715,2,2,2,2,2,2,2,2,2,2
124,sequence_47718,2,2,2,2,2,2,2,2,2,2
125,sequence_47717,2,2,2,2,2,2,2,2,2,2
126,sequence_47720,2,2,2,2,2,2,2,2,2,2
127,sequence_47716,2,2,2,2,2,2,2,2,2,2
128,sequence_47719,2,2,2,2,2,2,2,2,2,2
129,sequence_47723,2,2,2,2,2,2,2,2,2,2
130,sequence_47722,2,2,2,2,2,2,2,2,2,2
131,sequence_47674,2,2,2,2,2,2,2,2,2,2
132,sequence_47676,2,2,2,2,2,2,2,2,2,2
133,sequence_47711,2,2,2,2,2,2,2,2,2,2
134,sequence_47739,2,2,2,2,2,2,2,2,2,2
135,sequence_47735,2,2,2,2,2,2,2,2,2,2
136,sequence_47793,0,0,0,0,0,0,0,0,0,0
137,sequence_47801,0,0,0,0,0,0,0,0,0,0
138,sequence_47805,0,0,0,0,0,0,0,0,0,0
139,sequence_47802,2,2,2,2,2,2,2,2,2,2
140,sequence_47794,2,2,2,2,2,2,2,2,2,2
141,sequence_47728,0,0,0,0,0,0,0,0,0,0
142,sequence_47808,0,0,0,0,0,0,0,0,0,0
143,sequence_47792,0,0,0,0,0,0,0,0,0,0
144,sequence_47791,0,0,0,0,0,0,0,0,0,0
145,sequence_47788,1,1,1,1,1,1,1,1,1,1
146,sequence_47729,0,0,0,0,0,0,0,0,0,0
147,sequence_47809,0,0,0,0,0,0,0,0,0,0
148,sequence_47737,0,0,0,0,0,0,0,0,0,0
149,sequence_47810,0,0,0,0,0,0,0,0,0,0
150,sequence_47766,0,0,0,0,0,0,0,0,0,0
151,sequence_47736,0,0,0,0,0,0,0,0,0,0
