,tr|A0A013SC14|A0A013SC14_9GAMM,tr|A0A014C0I1|A0A014C0I1_9GAMM,tr|A0A014CTT5|A0A014CTT5_9GAMM,tr|A0A014CYJ5|A0A014CYJ5_9GAMM,tr|A0A014DBK2|A0A014DBK2_9GAMM,tr|A0A014DF73|A0A014DF73_9GAMM,tr|A0A014DTW4|A0A014DTW4_9GAMM,tr|A0A014ERD2|A0A014ERD2_9GAMM,tr|A0A014EY43|A0A014EY43_9GAMM,tr|A0A062MUQ9|A0A062MUQ9_9GAMM,tr|A0A062SKN2|A0A062SKN2_ACIBA,tr|A0A0B9XD40|A0A0B9XD40_ACIBA,tr|A0A0D7RKI7|A0A0D7RKI7_ACIBA,tr|A0A0E2G842|A0A0E2G842_ACINO,tr|A0A0J1AAD8|A0A0J1AAD8_ACIBA,tr|A0A1A0GJR9|A0A1A0GJR9_ACICA,tr|A0A1E2YIW5|A0A1E2YIW5_ACIPI,tr|A0A222A490|A0A222A490_ACIBA,tr|A0A2I8CNP8|A0A2I8CNP8_ACIBA,tr|A0A380UP52|A0A380UP52_ACIBA,tr|A0A3R9CTV7|A0A3R9CTV7_9GAMM,tr|A0A429KBM0|A0A429KBM0_ACIPI,tr|A0A4S2I392|A0A4S2I392_ACIBA,tr|A0A5Q0RTC1|A0A5Q0RTC1_ACINO,tr|A0A654KWT3|A0A654KWT3_ACIBM,tr|A0A6H3EIC4|A0A6H3EIC4_ACIBA,tr|A0A6H3SZL5|A0A6H3SZL5_ACIBA,tr|A0A6I4HNW0|A0A6I4HNW0_ACIBA,tr|A0A7L5SDU3|A0A7L5SDU3_ACIBA,tr|A0A7U3Y540|A0A7U3Y540_ACIB5,tr|A0A7U4BL76|A0A7U4BL76_ACIBA,tr|A0A7U4DDP9|A0A7U4DDP9_ACIBC,tr|A0A809JEU6|A0A809JEU6_ACIBA,tr|A0A836YKJ7|A0A836YKJ7_ACIBA,tr|A0A858S8D6|A0A858S8D6_ACIBA,tr|A0A8I1H555|A0A8I1H555_ACIPI,tr|R8YIW4|R8YIW4_ACIPI,tr|R8YZV0|R8YZV0_9GAMM,UPI0001B8E889,UPI00021B74FF,UPI0002833C81,UPI0002CDB8F9,UPI0002CEB95E,UPI0002D06098,UPI0003DF332C,UPI00041B1D67,UPI000448D735,UPI00044B3C22,UPI0004528C5E,UPI000465DD76,UPI0004A1512E,UPI00053BE3ED,UPI00057F5BD2,UPI000598E9A5,UPI0005EBC436,UPI000676019C,UPI0006A10499,UPI00070D9D1A,UPI0007C2C2E7,UPI0008107558,UPI000826DFED,UPI0009418B6D,UPI000947C4E1,UPI00095358E5,UPI000993BFAD,UPI0009B684A9,UPI0009D431EA,UPI0009D5EFF7,UPI000A333B80,UPI000A3C595B,UPI000A56000F,UPI000ABBCD72,UPI000B191CBD,UPI000B379ED3,UPI000B3FB7CD,UPI000B3FF0EF,UPI000B707648,UPI000B7BDBD5,UPI000B941B4D,UPI000BA793E0,UPI000BF6C523,UPI000BF99BCB,UPI000C04E9E8,UPI000D0126B3,UPI000D0164A9,UPI000D019E67,UPI000D01D32D,UPI000D0210B6,UPI000D021B2B,UPI000D644E28,UPI000DE6C838,UPI000DE7578B,UPI000DE7676B,UPI000DF499FC,UPI000E09C972,UPI000E09D640,UPI000F73DB0A,UPI000FBD780B,UPI0010A41630,UPI0010FD69BC,UPI0011206592,UPI00112344B9,UPI0011270E02,UPI00116BC0EF,UPI00116C204E,UPI0011922E70,UPI0012315F46,UPI001250885B,UPI00128002D8,UPI001283D1DC,UPI001284C7E1,UPI0013BD02D0,UPI00140FE8A4,UPI00143B8028,UPI00143CE0FE,UPI001487FA23,UPI00159C67B3,UPI00178CD137,UPI001897A862,UPI001898ED10,UPI0018994DFF,UPI0018999BB6,UPI00189BB2CB,UPI0018A9C75D,UPI00190048A7,UPI00190F5A66,UPI00191285C9,UPI00192ADBAF,UPI00197D70CD,UPI001A9BF9B4,UPI001B98E43D,UPI001BDBC038,UPI001C0434EA,UPI001C04481A,UPI001C0D5BEF,UPI001C1ED1F8,UPI001C62DD7D,UPI001CDB6A6E,UPI001CDD7851,UPI001D098812,UPI001D1746F9,UPI001D18106E,UPI001D186782,UPI001D188B34,UPI001D18B4D7,UPI001D18BD7B,UPI001D18F217,UPI001D190248,UPI001D191494,UPI001D194C4C,UPI001D196AC2,UPI001EE84E53,UPI001F07071F,UPI001F4EC3DD,UPI001F552102,UPI001FB207CD,UPI001FB29965,UPI001FB2C529,UPI001FB33651,UPI001FB45941,UPI001FB56787,UPI001FF6A730,UPI002017ABB1,UPI002024E08D
UPI00021B74FF,0.03125,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.009766,0.001953,0.013672,0.037109,0.001953,0.003906,0.017578,0.007812,0.001953,0.029297,0.025391,0.011719,0.009766,0.015625,0.013672,0.003906,0.003906,0.003906,0.009766,0.019531,0.013672,0.001953,0.003906,0.009766,0.015625,0.048828,0.003906,0.0,0.019531,0.011719,0.017578,0.025391,0.013672,0.011719,0.056641,0.050781,0.033203,0.019048,0.0,0.003906,0.002833,0.007812,0.003906,0.012121,0.0,0.002825,0.010081,0.023438,0.031311,0.042969,0.003906,0.015625,0.007859,0.027344,0.021739,0.0,0.003906,0.027344,0.010846,0.0,0.002841,0.054688,0.011719,0.005859,0.016949,0.025391,0.021484,0.019531,0.011719,0.023438,0.003906,0.011719,0.013672,0.011719,0.011719,0.011719,0.011719,0.013672,0.019531,0.050781,0.003906,0.013672,0.011719,0.011719,0.01002,0.0,0.009766,0.003906,0.021635,0.011933,0.005859,0.005263,0.021053,0.0,0.072266,0.072266,0.0,0.0,0.015873,0.027344,0.021611,0.013672,0.011719,0.0,0.01073,0.076172,0.005102,0.0,0.005602,0.0,0.009823,0.044922,0.015625,0.009346,0.003906,0.011719,0.037109,0.017578,0.017578,0.010204,0.002024,0.0,0.048828,0.011719,0.007874,0.003906,0.009843,0.03125,0.064516,0.002899,0.03118,0.00289,0.002985,0.002994,0.018349,0.002959,0.00295,0.002941,0.002967,0.044922,0.003906,0.003906,0.0,0.013841,0.012245,0.009324,0.008949,0.027682,0.031128,0.003906,0.023438,0.011719
UPI0002833C81,0.023438,0.017578,0.017578,0.017578,0.017578,0.017578,0.017578,0.017578,0.017578,0.017578,0.017578,0.017578,0.025391,0.017578,0.007812,0.025391,0.017578,0.019531,0.033203,0.023438,0.017578,0.021484,0.019531,0.027344,0.025391,0.03125,0.009766,0.019531,0.019531,0.019531,0.025391,0.007812,0.027344,0.017578,0.019531,0.025391,0.009766,0.042969,0.019531,0.019531,0.0,0.027344,0.005859,0.019531,0.029297,0.027344,0.046875,0.044922,0.050781,0.028571,0.01173,0.019531,0.022663,0.023438,0.019531,0.028283,0.005618,0.022599,0.024194,0.017578,0.02544,0.037109,0.019531,0.03125,0.023576,0.021484,0.027174,0.005435,0.017578,0.021484,0.0282,0.012158,0.022727,0.048828,0.027344,0.021484,0.025424,0.021484,0.013672,0.015625,0.025391,0.017578,0.019531,0.027344,0.029297,0.027344,0.027344,0.027344,0.027344,0.005859,0.035156,0.044922,0.019531,0.029297,0.007812,0.027344,0.026052,0.008475,0.025391,0.019531,0.026442,0.019093,0.021484,0.0,0.026316,0.010638,0.066406,0.064453,0.03125,0.007968,0.02381,0.021484,0.013752,0.029297,0.027344,0.005525,0.017167,0.068359,0.022959,0.008547,0.014006,0.006173,0.02554,0.056641,0.007812,0.0,0.019531,0.027344,0.029297,0.009766,0.011719,0.026531,0.01417,0.013043,0.042969,0.027344,0.0,0.019531,0.025591,0.023438,0.054591,0.011594,0.046771,0.011561,0.01791,0.008982,0.027523,0.017751,0.00885,0.017647,0.017804,0.039062,0.019531,0.019531,0.011905,0.027682,0.028571,0.025641,0.024609,0.038062,0.042802,0.019531,0.017578,0.027344
UPI0002CDB8F9,0.035156,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.001953,0.009766,0.021484,0.044922,0.009766,0.011719,0.023438,0.015625,0.009766,0.037109,0.029297,0.003906,0.001953,0.007812,0.021484,0.011719,0.011719,0.011719,0.001953,0.027344,0.021484,0.009766,0.009766,0.001953,0.023438,0.052734,0.011719,0.011719,0.027344,0.0,0.025391,0.029297,0.005859,0.001953,0.060547,0.054688,0.037109,0.004762,0.014663,0.011719,0.0,0.007812,0.011719,0.018182,0.02809,0.0,0.002016,0.027344,0.035225,0.050781,0.011719,0.007812,0.015717,0.03125,0.005435,0.027174,0.011719,0.035156,0.017354,0.015198,0.0,0.058594,0.003906,0.013672,0.004237,0.025391,0.029297,0.011719,0.019531,0.027344,0.011719,0.003906,0.005859,0.003906,0.003906,0.003906,0.003906,0.021484,0.011719,0.058594,0.011719,0.005859,0.019531,0.003906,0.002004,0.021186,0.017578,0.011719,0.026442,0.002387,0.013672,0.031579,0.005263,0.0,0.082031,0.080078,0.0,0.01992,0.003968,0.03125,0.02947,0.005859,0.003906,0.027624,0.002146,0.083984,0.002551,0.017094,0.014006,0.030864,0.017682,0.037109,0.023438,0.0,0.011719,0.003906,0.042969,0.025391,0.025391,0.002041,0.010121,0.017391,0.056641,0.003906,0.0,0.011719,0.001969,0.035156,0.062035,0.0,0.024499,0.0,0.0,0.0,0.004587,0.0,0.0,0.0,0.0,0.052734,0.011719,0.007812,0.02381,0.00346,0.004082,0.0,0.002237,0.038062,0.038911,0.011719,0.015625,0.003906
UPI0002CEB95E,0.021484,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.023438,0.015625,0.005859,0.027344,0.015625,0.017578,0.03125,0.021484,0.015625,0.019531,0.017578,0.025391,0.023438,0.029297,0.007812,0.017578,0.017578,0.017578,0.023438,0.001953,0.025391,0.015625,0.017578,0.023438,0.007812,0.041016,0.017578,0.017578,0.005859,0.025391,0.0,0.013672,0.027344,0.025391,0.044922,0.042969,0.050781,0.019048,0.005865,0.017578,0.022663,0.021484,0.017578,0.026263,0.0,0.022599,0.020161,0.015625,0.023483,0.035156,0.017578,0.029297,0.021611,0.019531,0.021739,0.0,0.015625,0.019531,0.02603,0.006079,0.022727,0.046875,0.025391,0.019531,0.016949,0.019531,0.011719,0.013672,0.023438,0.015625,0.017578,0.025391,0.027344,0.025391,0.025391,0.025391,0.025391,0.003906,0.033203,0.042969,0.017578,0.027344,0.005859,0.025391,0.024048,0.0,0.023438,0.017578,0.021635,0.01432,0.019531,0.005263,0.021053,0.0,0.064453,0.0625,0.020833,0.0,0.015873,0.019531,0.011788,0.027344,0.025391,0.0,0.012876,0.066406,0.022959,0.0,0.008403,0.0,0.023576,0.054688,0.005859,0.0,0.017578,0.025391,0.027344,0.007812,0.009766,0.02449,0.010121,0.008696,0.041016,0.025391,0.0,0.017578,0.023622,0.021484,0.054591,0.008696,0.046771,0.008671,0.014925,0.005988,0.018349,0.014793,0.0059,0.014706,0.014837,0.037109,0.017578,0.017578,0.0,0.020761,0.020408,0.025641,0.024609,0.031142,0.035019,0.017578,0.015625,0.025391
UPI0002D06098,0.021484,0.023438,0.023438,0.023438,0.023438,0.023438,0.023438,0.023438,0.023438,0.023438,0.023438,0.023438,0.027344,0.023438,0.011719,0.035156,0.023438,0.025391,0.039062,0.029297,0.023438,0.025391,0.007812,0.029297,0.027344,0.033203,0.015625,0.025391,0.025391,0.025391,0.027344,0.011719,0.027344,0.023438,0.023438,0.027344,0.013672,0.039062,0.025391,0.025391,0.019531,0.029297,0.013672,0.0,0.03125,0.029297,0.046875,0.041016,0.054688,0.02381,0.014663,0.025391,0.028329,0.025391,0.025391,0.034343,0.016854,0.028249,0.024194,0.013672,0.013699,0.037109,0.025391,0.033203,0.02947,0.009766,0.027174,0.016304,0.021484,0.021484,0.034707,0.015198,0.028409,0.044922,0.029297,0.027344,0.021186,0.023438,0.017578,0.017578,0.025391,0.013672,0.025391,0.029297,0.03125,0.029297,0.029297,0.029297,0.029297,0.013672,0.037109,0.044922,0.025391,0.03125,0.013672,0.029297,0.028056,0.012712,0.03125,0.025391,0.007212,0.016706,0.027344,0.021053,0.026316,0.021277,0.070312,0.068359,0.020833,0.015936,0.02381,0.009766,0.021611,0.03125,0.029297,0.016575,0.015021,0.072266,0.028061,0.017094,0.016807,0.012346,0.031434,0.056641,0.015625,0.0,0.025391,0.029297,0.029297,0.017578,0.015625,0.028571,0.018219,0.021739,0.042969,0.029297,0.0,0.025391,0.027559,0.021484,0.052109,0.014493,0.051225,0.014451,0.020896,0.011976,0.022936,0.02071,0.011799,0.020588,0.020772,0.039062,0.025391,0.025391,0.011905,0.024221,0.02449,0.027972,0.029083,0.010381,0.011673,0.025391,0.013672,0.029297
UPI0003DF332C,0.037109,0.011719,0.011719,0.011719,0.011719,0.011719,0.011719,0.011719,0.011719,0.011719,0.011719,0.011719,0.003906,0.011719,0.023438,0.046875,0.011719,0.013672,0.025391,0.017578,0.011719,0.039062,0.03125,0.005859,0.003906,0.009766,0.023438,0.011719,0.013672,0.013672,0.003906,0.029297,0.023438,0.011719,0.011719,0.003906,0.025391,0.054688,0.013672,0.013672,0.029297,0.005859,0.027344,0.03125,0.0,0.005859,0.0625,0.056641,0.039062,0.0,0.017595,0.013672,0.005666,0.009766,0.013672,0.020202,0.022472,0.00565,0.004032,0.029297,0.037182,0.052734,0.013672,0.009766,0.017682,0.033203,0.0,0.021739,0.013672,0.037109,0.019523,0.012158,0.005682,0.060547,0.005859,0.015625,0.0,0.027344,0.03125,0.013672,0.021484,0.029297,0.013672,0.005859,0.007812,0.005859,0.005859,0.005859,0.005859,0.023438,0.013672,0.060547,0.013672,0.007812,0.021484,0.005859,0.004008,0.016949,0.019531,0.013672,0.028846,0.004773,0.015625,0.026316,0.0,0.0,0.083984,0.082031,0.0,0.015936,0.0,0.033203,0.031434,0.007812,0.005859,0.022099,0.004292,0.085938,0.005102,0.012821,0.014006,0.024691,0.017682,0.039062,0.025391,0.0,0.013672,0.005859,0.044922,0.027344,0.027344,0.006122,0.012146,0.013043,0.058594,0.005859,0.015748,0.013672,0.003937,0.037109,0.066998,0.005797,0.026726,0.00578,0.00597,0.005988,0.0,0.005917,0.0059,0.005882,0.005935,0.054688,0.013672,0.009766,0.011905,0.0,0.0,0.004662,0.004474,0.034602,0.035019,0.013672,0.017578,0.005859
UPI00041B1D67,0.035156,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.009766,0.001953,0.009766,0.021484,0.044922,0.009766,0.011719,0.023438,0.015625,0.009766,0.037109,0.029297,0.003906,0.001953,0.007812,0.021484,0.011719,0.011719,0.011719,0.001953,0.027344,0.021484,0.009766,0.009766,0.001953,0.023438,0.052734,0.011719,0.011719,0.027344,0.001953,0.025391,0.029297,0.005859,0.0,0.060547,0.054688,0.037109,0.004762,0.014663,0.011719,0.0,0.007812,0.011719,0.018182,0.02809,0.0,0.002016,0.027344,0.035225,0.050781,0.011719,0.007812,0.015717,0.03125,0.005435,0.027174,0.011719,0.035156,0.017354,0.015198,0.0,0.058594,0.003906,0.013672,0.004237,0.025391,0.029297,0.011719,0.019531,0.027344,0.011719,0.003906,0.005859,0.003906,0.003906,0.003906,0.003906,0.021484,0.011719,0.058594,0.011719,0.005859,0.019531,0.003906,0.002004,0.021186,0.017578,0.011719,0.026442,0.002387,0.013672,0.031579,0.005263,0.0,0.082031,0.080078,0.0,0.01992,0.003968,0.03125,0.02947,0.005859,0.003906,0.027624,0.002146,0.083984,0.002551,0.017094,0.014006,0.030864,0.017682,0.037109,0.023438,0.0,0.011719,0.003906,0.042969,0.025391,0.025391,0.0,0.010121,0.017391,0.056641,0.003906,0.0,0.011719,0.001969,0.035156,0.062035,0.0,0.024499,0.0,0.0,0.0,0.004587,0.0,0.0,0.0,0.0,0.052734,0.011719,0.007812,0.02381,0.00346,0.004082,0.0,0.002237,0.038062,0.038911,0.011719,0.015625,0.003906
UPI000448D735,0.041016,0.054688,0.054688,0.054688,0.054688,0.054688,0.054688,0.054688,0.054688,0.054688,0.054688,0.054688,0.058594,0.054688,0.042969,0.046875,0.054688,0.054688,0.066406,0.060547,0.054688,0.046875,0.042969,0.060547,0.058594,0.064453,0.044922,0.056641,0.056641,0.056641,0.058594,0.046875,0.050781,0.054688,0.054688,0.058594,0.041016,0.029297,0.056641,0.056641,0.046875,0.060547,0.044922,0.046875,0.0625,0.060547,0.0,0.009766,0.085938,0.033333,0.038123,0.056641,0.073654,0.056641,0.056641,0.066667,0.016854,0.073446,0.058468,0.041016,0.048924,0.025391,0.056641,0.064453,0.060904,0.044922,0.027174,0.016304,0.052734,0.042969,0.067245,0.039514,0.073864,0.013672,0.060547,0.058594,0.029661,0.054688,0.048828,0.048828,0.052734,0.035156,0.056641,0.060547,0.0625,0.060547,0.060547,0.060547,0.060547,0.044922,0.068359,0.021484,0.056641,0.0625,0.044922,0.060547,0.06012,0.021186,0.0625,0.056641,0.048077,0.052506,0.058594,0.021053,0.026316,0.053191,0.068359,0.066406,0.083333,0.027888,0.035714,0.044922,0.053045,0.0625,0.060547,0.016575,0.051502,0.070312,0.068878,0.029915,0.044818,0.012346,0.062868,0.078125,0.044922,0.084112,0.056641,0.060547,0.041016,0.046875,0.042969,0.061224,0.052632,0.043478,0.019531,0.060547,0.070866,0.056641,0.059055,0.033203,0.01737,0.063768,0.084633,0.063584,0.071642,0.062874,0.03211,0.071006,0.061947,0.070588,0.071217,0.027344,0.056641,0.056641,0.011905,0.044983,0.044898,0.065268,0.06264,0.038062,0.042802,0.056641,0.044922,0.060547
UPI00044B3C22,0.037109,0.048828,0.048828,0.048828,0.048828,0.048828,0.048828,0.048828,0.048828,0.048828,0.048828,0.048828,0.052734,0.048828,0.037109,0.042969,0.048828,0.048828,0.060547,0.054688,0.048828,0.041016,0.037109,0.054688,0.052734,0.058594,0.039062,0.050781,0.050781,0.050781,0.052734,0.044922,0.044922,0.048828,0.048828,0.052734,0.035156,0.025391,0.050781,0.050781,0.044922,0.054688,0.042969,0.041016,0.056641,0.054688,0.009766,0.0,0.080078,0.033333,0.032258,0.050781,0.065156,0.050781,0.050781,0.060606,0.016854,0.064972,0.052419,0.035156,0.043053,0.015625,0.050781,0.058594,0.05501,0.039062,0.027174,0.016304,0.046875,0.037109,0.060738,0.033435,0.065341,0.003906,0.054688,0.052734,0.029661,0.048828,0.042969,0.042969,0.046875,0.029297,0.050781,0.054688,0.056641,0.054688,0.054688,0.054688,0.054688,0.039062,0.0625,0.011719,0.050781,0.056641,0.039062,0.054688,0.054108,0.021186,0.056641,0.050781,0.040865,0.045346,0.052734,0.021053,0.026316,0.053191,0.064453,0.0625,0.072917,0.027888,0.035714,0.039062,0.047151,0.056641,0.054688,0.016575,0.045064,0.066406,0.061224,0.029915,0.036415,0.012346,0.056974,0.076172,0.039062,0.074766,0.048828,0.054688,0.037109,0.041016,0.037109,0.055102,0.046559,0.03913,0.009766,0.054688,0.062992,0.050781,0.05315,0.029297,0.004963,0.055072,0.077951,0.054913,0.062687,0.053892,0.03211,0.06213,0.053097,0.061765,0.062315,0.017578,0.050781,0.050781,0.011905,0.041522,0.040816,0.058275,0.055928,0.034602,0.038911,0.050781,0.039062,0.054688
UPI0004528C5E,0.060547,0.035156,0.035156,0.035156,0.035156,0.035156,0.035156,0.035156,0.035156,0.035156,0.035156,0.035156,0.035156,0.035156,0.046875,0.068359,0.035156,0.037109,0.044922,0.041016,0.035156,0.0625,0.054688,0.037109,0.035156,0.041016,0.046875,0.037109,0.037109,0.037109,0.035156,0.052734,0.046875,0.035156,0.035156,0.035156,0.048828,0.078125,0.037109,0.033203,0.050781,0.037109,0.050781,0.054688,0.039062,0.037109,0.085938,0.080078,0.0,0.061905,0.038123,0.037109,0.042493,0.029297,0.037109,0.044444,0.05618,0.042373,0.03629,0.052734,0.060665,0.076172,0.037109,0.041016,0.041257,0.056641,0.059783,0.059783,0.037109,0.060547,0.045553,0.039514,0.042614,0.082031,0.037109,0.039062,0.055085,0.046875,0.054688,0.044922,0.044922,0.052734,0.037109,0.037109,0.039062,0.037109,0.037109,0.037109,0.037109,0.046875,0.044922,0.083984,0.037109,0.039062,0.044922,0.037109,0.036072,0.055085,0.042969,0.037109,0.048077,0.033413,0.035156,0.068421,0.063158,0.106383,0.091797,0.091797,0.010417,0.051793,0.051587,0.056641,0.05501,0.039062,0.037109,0.060773,0.038627,0.095703,0.040816,0.051282,0.039216,0.018519,0.043222,0.070312,0.048828,0.028037,0.037109,0.037109,0.068359,0.050781,0.050781,0.034694,0.036437,0.052174,0.082031,0.035156,0.007874,0.037109,0.035433,0.060547,0.096774,0.043478,0.057906,0.043353,0.044776,0.04491,0.059633,0.044379,0.044248,0.044118,0.04451,0.078125,0.037109,0.037109,0.0,0.044983,0.044898,0.037296,0.035794,0.065744,0.070039,0.037109,0.048828,0.037109
UPI000465DD76,0.02381,0.019048,0.019048,0.019048,0.019048,0.019048,0.019048,0.019048,0.019048,0.019048,0.019048,0.019048,0.0,0.019048,0.019048,0.042857,0.019048,0.019048,0.052381,0.033333,0.019048,0.047619,0.028571,0.0,0.0,0.0,0.019048,0.019048,0.019048,0.019048,0.0,0.019048,0.028571,0.019048,0.019048,0.0,0.02381,0.033333,0.02381,0.019048,0.028571,0.004762,0.019048,0.02381,0.0,0.004762,0.033333,0.033333,0.061905,0.0,0.019048,0.02381,0.757143,0.014286,0.02381,0.119048,0.022472,0.752381,0.0,0.019048,0.028571,0.038095,0.019048,0.0,0.019048,0.033333,0.0,0.021739,0.019048,0.02381,0.27619,0.019048,0.761905,0.033333,0.0,0.019048,0.0,0.028571,0.033333,0.0,0.028571,0.019048,0.02381,0.0,0.0,0.0,0.0,0.0,0.0,0.019048,0.0,0.038095,0.019048,0.0,0.019048,0.0,0.061905,0.019048,0.038095,0.019048,0.033333,0.0,0.02381,0.026316,0.0,0.351064,0.061905,0.061905,0.791667,0.019048,0.0,0.028571,0.02381,0.0,0.0,0.022099,0.0,0.066667,0.571429,0.104762,0.104762,0.024691,0.019048,0.014286,0.02381,0.831776,0.019048,0.0,0.042857,0.028571,0.02381,0.109524,0.019048,0.290476,0.033333,0.0,0.850394,0.02381,0.019048,0.02381,0.533333,0.671429,0.347619,0.666667,0.733333,0.709524,0.0,0.72381,0.690476,0.714286,0.72381,0.042857,0.02381,0.014286,0.011905,0.0,0.209524,0.395238,0.309524,0.033333,0.180952,0.02381,0.0,0.004762
UPI0004A1512E,0.020528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01173,0.0,0.002933,0.029326,0.0,0.0,0.02346,0.008798,0.0,0.026393,0.020528,0.01173,0.01173,0.01173,0.0,0.002933,0.0,0.0,0.01173,0.005865,0.017595,0.0,0.002933,0.01173,0.005865,0.038123,0.002933,0.0,0.01173,0.014663,0.005865,0.014663,0.017595,0.014663,0.038123,0.032258,0.038123,0.019048,0.0,0.002933,0.466276,0.008798,0.002933,0.064516,0.0,0.463343,0.01173,0.017595,0.020528,0.029326,0.002933,0.01173,0.002933,0.02346,0.021739,0.0,0.002933,0.014663,0.16129,0.0,0.469208,0.035191,0.01173,0.0,0.016949,0.017595,0.014663,0.01173,0.014663,0.01173,0.002933,0.01173,0.014663,0.01173,0.01173,0.01173,0.01173,0.002933,0.014663,0.029326,0.002933,0.014663,0.0,0.014663,0.049853,0.0,0.01173,0.002933,0.02346,0.01173,0.005865,0.005263,0.021053,0.0,0.055718,0.055718,0.0,0.0,0.015873,0.020528,0.008798,0.014663,0.014663,0.0,0.01173,0.058651,0.354839,0.0,0.058651,0.0,0.005865,0.064516,0.005865,0.82243,0.002933,0.014663,0.029326,0.008798,0.008798,0.076246,0.0,0.0,0.026393,0.01173,0.732283,0.002933,0.02346,0.020528,0.348974,0.41349,0.222874,0.410557,0.441791,0.42515,0.018349,0.440828,0.421829,0.438235,0.439169,0.032258,0.002933,0.002933,0.0,0.013841,0.012245,0.252199,0.199413,0.027682,0.031128,0.002933,0.017595,0.014663
UPI00053BE3ED,0.03125,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.001953,0.009766,0.001953,0.013672,0.037109,0.001953,0.003906,0.017578,0.007812,0.001953,0.029297,0.025391,0.011719,0.009766,0.015625,0.013672,0.003906,0.003906,0.003906,0.009766,0.019531,0.013672,0.001953,0.003906,0.009766,0.015625,0.048828,0.003906,0.003906,0.019531,0.011719,0.017578,0.025391,0.013672,0.011719,0.056641,0.050781,0.037109,0.02381,0.002933,0.0,0.0,0.007812,0.003906,0.010101,0.005618,0.0,0.010081,0.023438,0.031311,0.042969,0.003906,0.015625,0.007859,0.027344,0.027174,0.005435,0.003906,0.027344,0.008677,0.00304,0.0,0.054688,0.011719,0.005859,0.021186,0.025391,0.021484,0.019531,0.011719,0.023438,0.003906,0.011719,0.013672,0.011719,0.011719,0.011719,0.011719,0.013672,0.019531,0.050781,0.003906,0.013672,0.011719,0.011719,0.008016,0.004237,0.009766,0.003906,0.021635,0.011933,0.005859,0.010526,0.026316,0.0,0.074219,0.072266,0.0,0.003984,0.019841,0.027344,0.021611,0.013672,0.011719,0.005525,0.01073,0.076172,0.002551,0.0,0.002801,0.006173,0.009823,0.044922,0.015625,0.0,0.003906,0.011719,0.037109,0.017578,0.017578,0.008163,0.002024,0.0,0.048828,0.011719,0.0,0.003906,0.009843,0.03125,0.062035,0.0,0.028953,0.0,0.0,0.0,0.022936,0.0,0.0,0.0,0.0,0.044922,0.003906,0.003906,0.0,0.017301,0.012245,0.006993,0.006711,0.031142,0.031128,0.003906,0.023438,0.011719
UPI00057F5BD2,0.03966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016997,0.045326,0.0,0.002833,0.008499,0.0,0.0,0.025496,0.028329,0.002833,0.0,0.008499,0.016997,0.002833,0.002833,0.002833,0.0,0.025496,0.014164,0.0,0.0,0.0,0.01983,0.05949,0.0,0.002833,0.022663,0.0,0.022663,0.028329,0.005666,0.0,0.073654,0.065156,0.042493,0.757143,0.466276,0.0,0.0,0.0,0.002833,0.0,0.865169,0.0,0.045326,0.028329,0.03966,0.053824,0.002833,0.008499,0.016997,0.028329,0.86413,0.86413,0.002833,0.036827,0.0,0.483283,0.0,0.070822,0.002833,0.005666,0.673729,0.01983,0.022663,0.014164,0.011331,0.028329,0.002833,0.002833,0.005666,0.002833,0.002833,0.002833,0.002833,0.016997,0.014164,0.065156,0.002833,0.005666,0.014164,0.002833,0.0,0.673729,0.0,0.002833,0.286119,0.263456,0.002833,0.836842,0.836842,0.106383,0.096317,0.090652,0.0,0.633466,0.630952,0.031161,0.033994,0.005666,0.002833,0.867403,0.130312,0.093484,0.002833,0.598291,0.388102,0.851852,0.01983,0.042493,0.016997,0.0,0.002833,0.002833,0.03966,0.016997,0.022663,0.0,0.050992,0.43913,0.065156,0.002833,0.0,0.0,0.0,0.036827,0.070822,0.052174,0.0,0.054913,0.014925,0.02994,0.729358,0.02071,0.041298,0.026471,0.020772,0.053824,0.0,0.0,0.77381,0.550173,0.469388,0.0,0.0,0.567474,0.513619,0.0,0.01983,0.0
