,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
52,sequence_47775,5,5,5,5,5,5,5,5,5,5
53,sequence_47730,22,22,22,22,22,22,22,22,22,22
54,sequence_47758,22,22,22,22,22,22,22,22,22,22
55,sequence_47797,15,15,15,15,15,15,15,15,15,15
56,sequence_47798,21,21,21,21,21,21,21,21,21,21
57,sequence_47751,19,19,19,19,19,19,19,19,19,19
58,sequence_47741,26,26,26,26,26,26,26,26,26,26
59,sequence_47743,26,26,26,26,26,26,26,26,26,26
60,sequence_47752,26,26,26,26,26,26,26,26,26,26
61,sequence_47745,2,2,2,2,2,2,2,2,2,2
62,sequence_47747,26,26,26,26,26,26,26,26,26,26
63,sequence_47748,2,2,2,2,2,2,2,2,2,2
64,sequence_47749,2,2,2,2,2,2,2,2,2,2
65,sequence_47744,26,26,26,26,26,26,26,26,26,26
66,sequence_47721,25,25,25,25,25,25,25,25,25,25
67,sequence_47759,24,24,24,24,24,24,24,24,24,24
68,sequence_47774,24,24,24,24,24,24,24,24,24,24
69,sequence_47770,6,6,6,6,6,6,6,6,6,6
70,sequence_47713,26,26,26,26,26,26,26,26,26,26
71,sequence_47738,26,26,26,26,26,26,26,26,26,26
72,sequence_47769,6,6,6,6,6,6,6,6,6,6
73,sequence_47702,14,14,14,14,14,14,14,14,14,14
74,sequence_47672,14,14,14,14,14,14,14,14,14,14
75,sequence_47705,14,14,14,14,14,14,14,14,14,14
76,sequence_47694,10,10,10,10,10,10,10,10,10,10
77,sequence_47691,8,8,8,8,8,8,8,8,8,8
78,sequence_47701,3,3,3,3,3,3,3,3,3,3
79,sequence_47706,3,3,3,3,3,3,3,3,3,3
80,sequence_47675,3,3,3,3,3,3,3,3,3,3
81,sequence_47698,10,10,10,10,10,10,10,10,10,10
82,sequence_47688,28,28,28,28,28,28,28,28,28,28
83,sequence_47704,12,12,12,12,12,12,12,12,12,12
84,sequence_47708,23,23,23,23,23,23,23,23,23,23
85,sequence_47709,23,23,23,23,23,23,23,23,23,23
86,sequence_47677,12,12,12,12,12,12,12,12,12,12
87,sequence_47692,16,16,16,16,16,16,16,16,16,16
88,sequence_47703,12,12,12,12,12,12,12,12,12,12
89,sequence_47707,23,23,23,23,23,23,23,23,23,23
90,sequence_47762,1,1,1,1,1,1,1,1,1,1
91,sequence_47765,1,1,1,1,1,1,1,1,1,1
92,sequence_47767,1,1,1,1,1,1,1,1,1,1
93,sequence_47812,6,6,6,6,6,6,6,6,6,6
94,sequence_47761,1,1,1,1,1,1,1,1,1,1
95,sequence_47764,6,6,6,6,6,6,6,6,6,6
96,sequence_47763,6,6,6,6,6,6,6,6,6,6
97,sequence_47699,13,13,13,13,13,13,13,13,13,13
98,sequence_47687,16,16,16,16,16,16,16,16,16,16
99,sequence_47693,13,13,13,13,13,13,13,13,13,13
100,sequence_47690,16,16,16,16,16,16,16,16,16,16
101,sequence_47712,4,4,4,4,4,4,4,4,4,4
102,sequence_47714,4,4,4,4,4,4,4,4,4,4
103,sequence_47725,13,13,13,13,13,13,13,13,13,13
104,sequence_47669,8,8,8,8,8,8,8,8,8,8
105,sequence_47668,18,18,18,18,18,18,18,18,18,18
106,sequence_47670,20,20,20,20,20,20,20,20,20,20
107,sequence_47665,20,20,20,20,20,20,20,20,20,20
108,sequence_47661,18,18,18,18,18,18,18,18,18,18
109,sequence_47667,28,28,28,28,28,28,28,28,28,28
110,sequence_47726,5,5,5,5,5,5,5,5,5,5
111,sequence_47734,5,5,5,5,5,5,5,5,5,5
112,sequence_47811,5,5,5,5,5,5,5,5,5,5
113,sequence_47662,18,18,18,18,18,18,18,18,18,18
114,sequence_47731,22,22,22,22,22,22,22,22,22,22
115,sequence_47733,15,15,15,15,15,15,15,15,15,15
116,sequence_47732,15,15,15,15,15,15,15,15,15,15
117,sequence_47755,27,27,27,27,27,27,27,27,27,27
118,sequence_47746,5,5,5,5,5,5,5,5,5,5
119,sequence_47754,19,19,19,19,19,19,19,19,19,19
120,sequence_47753,27,27,27,27,27,27,27,27,27,27
121,sequence_47740,19,19,19,19,19,19,19,19,19,19
122,sequence_47742,6,6,6,6,6,6,6,6,6,6
123,sequence_47715,12,12,12,12,12,12,12,12,12,12
124,sequence_47718,11,11,11,11,11,11,11,11,11,11
125,sequence_47717,12,12,12,12,12,12,12,12,12,12
126,sequence_47720,11,11,11,11,11,11,11,11,11,11
127,sequence_47716,11,11,11,11,11,11,11,11,11,11
128,sequence_47719,12,12,12,12,12,12,12,12,12,12
129,sequence_47723,25,25,25,25,25,25,25,25,25,25
130,sequence_47722,25,25,25,25,25,25,25,25,25,25
131,sequence_47674,14,14,14,14,14,14,14,14,14,14
132,sequence_47676,12,12,12,12,12,12,12,12,12,12
133,sequence_47711,6,6,6,6,6,6,6,6,6,6
134,sequence_47739,6,6,6,6,6,6,6,6,6,6
135,sequence_47735,6,6,6,6,6,6,6,6,6,6
136,sequence_47793,2,2,2,2,2,2,2,2,2,2
137,sequence_47801,9,9,9,9,9,9,9,9,9,9
138,sequence_47805,22,22,22,22,22,22,22,22,22,22
139,sequence_47802,15,15,15,15,15,15,15,15,15,15
140,sequence_47794,24,24,24,24,24,24,24,24,24,24
141,sequence_47728,7,7,7,7,7,7,7,7,7,7
142,sequence_47808,7,7,7,7,7,7,7,7,7,7
143,sequence_47792,7,7,7,7,7,7,7,7,7,7
144,sequence_47791,2,2,2,2,2,2,2,2,2,2
145,sequence_47788,19,19,19,19,19,19,19,19,19,19
146,sequence_47729,7,7,7,7,7,7,7,7,7,7
147,sequence_47809,7,7,7,7,7,7,7,7,7,7
148,sequence_47737,7,7,7,7,7,7,7,7,7,7
149,sequence_47810,7,7,7,7,7,7,7,7,7,7
150,sequence_47766,3,3,3,3,3,3,3,3,3,3
151,sequence_47736,7,7,7,7,7,7,7,7,7,7
